1,0,0,0,1,0,0,0,1,0,0,0,0.707107,0,0,-0.707107,0.707107,0,0,-0.707107,1,0,0,0,1,0,0,0,0.726273,-0.11386,-0.111709,-0.668644,0.699377,0.10427,0.10427,-0.699376,0.984377,0.0242305,0.130196,-0.116033,0.993374,-0.0640439,-0.095401,-0.00215691,0.673831,0.214362,-0.214362,0.673832,0.659765,-0.254382,0.254382,0.659765,-0.000300674,0.041106,0.228199,0.0230901,0.0396102,-0.244144,0.00464639,0.241315,0.198523,0.00150125,0.235988,-0.199892,0.0158268,0.613326,0.127453,2.68221e-07,0.61123,-0.122985,0,0.868719,0,0,1.02692,0,0,1.21152,0,0,1.14112,0.1671,0,1.14112,-0.1671,7.45058e-09,0.881719,0.1671,7.45058e-09,0.881719,-0.1671,0,1.43132,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00243067,0.85615,1.63886e-05,1,1,0,0,0,0,0,0,0,0,0,0,0,0
0.999988,-0.00483521,-0.000106814,-0.000688875,0.999991,-0.00417426,-0.000349716,0.000418956,1,0,0,0,0.721651,-0.0308082,-0.0213889,-0.69124,0.720173,0.0299702,0.0176846,-0.692921,1,0,0,0,1,0,0,0,0.732805,-0.112581,-0.114688,-0.661188,0.709914,0.116885,0.110431,-0.685686,0.984496,0.0129484,0.127671,-0.119584,0.99403,-0.0562315,-0.093009,-0.00953087,0.678254,0.21877,-0.213915,0.668096,0.659764,-0.254381,0.254382,0.659766,0.00302781,0.0596024,0.26325,0.0359143,0.0366503,-0.233866,0.00818949,0.258105,0.221512,0.0125645,0.233878,-0.194564,0.0180881,0.625263,0.128569,0.00525516,0.610899,-0.126898,0.00146061,0.873186,-0.0127451,0.00340401,1.0311,-0.0219348,0.00570891,1.21527,-0.034428,0.0110504,1.15813,0.147539,0.0102866,1.13283,-0.205519,0.0191974,0.901573,0.184966,0.0172843,0.873525,-0.204426,0.00837384,1.43449,-0.0500879,-0.290113,-0.00640885,-0.0413327,-0.250456,-0.020983,0.0251374,0,0,0,-2.0417,-1.41747,1.31457,1.98729,1.17265,1.17713,0,0,0,0,0,0,0.103162,-0.178155,0.602174,0.811448,0.38177,1.10157,-0.680504,-0.152631,-0.213896,0.470523,0.145067,-0.443291,0.271941,0.055241,-0.465642,3.21865e-05,3.57628e-05,9.29832e-05,0.008444,0.861156,-0.0148088,0,0.999628,-0.0266386,0.000400201,-0.00581321,-0.0532872,0.000490392,-0.0116437,0.0438183,0.134,-0.382352,-1.59851,0.024015,-0.348836
0.999937,-0.0110857,-0.000246296,-0.00150451,0.999953,-0.00958669,-0.000803466,0.00107571,1,0,0,0,0.737099,-0.0692796,-0.0479507,-0.670512,0.734059,0.0673519,0.0393649,-0.67459,1,0,0,0,1,0,0,0,0.740349,-0.110851,-0.118229,-0.652394,0.722486,0.133628,0.117908,-0.668024,0.98443,-0.00160146,0.124404,-0.124171,0.99469,-0.0462541,-0.0900031,-0.0187677,0.683894,0.2245,-0.213323,0.660592,0.659763,-0.254381,0.254383,0.659767,0.00637342,0.0848196,0.304369,0.0520709,0.034292,-0.223059,0.0120904,0.280341,0.248276,0.0264355,0.232219,-0.189058,0.0208042,0.639972,0.129585,0.0117042,0.61074,-0.131397,0.00319107,0.878012,-0.0276239,0.00749888,1.03485,-0.0478127,0.0125602,1.2173,-0.0754011,0.024901,1.17992,0.123046,0.02236,1.11993,-0.250294,0.0432474,0.934527,0.20511,0.0379722,0.861008,-0.248087,0.0183775,1.43427,-0.110036,-0.375044,-0.00836923,-0.0489397,-0.324754,-0.0272257,0.0394063,0,0,0,-2.52255,-1.7416,1.63494,2.45509,1.42378,1.45232,0,0,0,0,0,0,0.135129,-0.211354,0.703651,1.07169,0.459921,1.39026,-0.877534,-0.196843,-0.276834,0.600452,0.181904,-0.555064,0.352744,0.0716552,-0.604008,4.11272e-05,4.11272e-05,0.000100136,0.0157254,0.866629,-0.0325677,0,0.998208,-0.0583976,0.00130978,-0.012986,-0.116886,0.00109817,-0.0260814,0.0519139,0.144795,-0.446363,-1.9073,0.0542114,-0.431471
0.999824,-0.0185731,-0.000414243,-0.00243544,0.999868,-0.0160803,-0.00134804,0.00193334,1,0,0,0,0.751465,-0.114679,-0.0792006,-0.644885,0.747119,0.11143,0.0646842,-0.652083,1,0,0,0,1,0,0,0,0.748761,-0.10872,-0.122289,-0.642326,0.736314,0.154029,0.126579,-0.646603,0.984028,-0.0190067,0.120483,-0.129656,0.995221,-0.0343727,-0.0864506,-0.0296515,0.690516,0.231392,-0.212594,0.651497,0.659761,-0.25438,0.254383,0.659769,0.0104201,0.117152,0.349975,0.0710056,0.032091,-0.211882,0.0168467,0.307956,0.277584,0.0426439,0.230515,-0.183389,0.024171,0.656683,0.130037,0.0191052,0.610078,-0.136348,0.00516702,0.882144,-0.0444649,0.012146,1.03674,-0.0771895,0.0202617,1.2156,-0.122023,0.0413997,1.20573,0.0921139,0.0354835,1.10069,-0.299824,0.0720005,0.98348,0.222332,0.0609859,0.842566,-0.296626,0.0295307,1.42786,-0.178347,-0.449295,-0.010078,-0.0558626,-0.38965,-0.0326773,0.0514618,0,0,0,-2.95001,-2.03048,1.91893,2.87098,1.64891,1.69713,0,0,0,0,0,0,0.162967,-0.241528,0.796909,1.29784,0.530279,1.6447,-1.04992,-0.235526,-0.331838,0.714516,0.214452,-0.653872,0.423315,0.0859916,-0.724847,4.29153e-05,4.82798e-05,0.00012517,0.024098,0.871442,-0.0531495,0,0.995271,-0.0947265,0.00293811,-0.0213154,-0.18982,0.00181016,-0.0429991,0.0592784,0.123945,-0.50523,-2.18601,0.0968988,-0.504124
0.999626,-0.0271186,-0.000606443,-0.00347017,0.999718,-0.0234978,-0.00197021,0.00295488,1,0,0,0,0.762741,-0.166113,-0.114544,-0.61442,0.757688,0.161362,0.093213,-0.625446,1,0,0,0,1,0,0,0,0.757897,-0.106239,-0.126821,-0.631049,0.750609,0.177596,0.136311,-0.621663,0.983142,-0.0388497,0.115994,-0.135897,0.995495,-0.0208509,-0.0824195,-0.0419643,0.697887,0.239289,-0.211736,0.640986,0.65976,-0.254379,0.254384,0.65977,0.0160124,0.159266,0.398164,0.0921366,0.0319968,-0.20069,0.0230691,0.343169,0.307975,0.0607005,0.230677,-0.177743,0.0284213,0.676968,0.129382,0.0272212,0.610657,-0.141704,0.00736408,0.886936,-0.0630967,0.0171715,1.03778,-0.109565,0.0284286,1.21063,-0.173233,0.0603441,1.23654,0.0525918,0.0487793,1.07598,-0.352382,0.105428,1.0519,0.229129,0.0850115,0.819149,-0.348554,0.0411847,1.41497,-0.253203,-0.512865,-0.0115351,-0.0621013,-0.445143,-0.0373378,0.061304,0,0,0,-3.3241,-2.2841,2.16655,3.23495,1.84806,1.91153,0,0,0,0,0,0,0.186679,-0.268676,0.881935,1.48988,0.592851,1.86488,-1.19766,-0.268677,-0.378908,0.812715,0.242706,-0.739716,0.483652,0.0982466,-0.828155,5.00679e-05,5.1856e-05,0.000132322,0.0333537,0.876823,-0.0765164,0,0.990354,-0.135037,0.00548831,-0.0305751,-0.271114,0.00261319,-0.0620827,0.0659118,0.143784,-0.558954,-2.43422,0.152125,-0.566797
0.999321,-0.0365429,-0.000818677,-0.00459716,0.999486,-0.0316819,-0.00265673,0.00410334,1,0,0,0,0.769011,-0.222497,-0.153258,-0.579336,0.764177,0.216147,0.124435,-0.594837,1,0,0,0,1,0,0,0,0.767611,-0.10346,-0.13178,-0.618631,0.764613,0.203807,0.146964,-0.593491,0.981636,-0.0607078,0.111027,-0.142753,0.995392,-0.00595564,-0.077979,-0.0554853,0.705775,0.248026,-0.210758,0.629242,0.659758,-0.254378,0.254385,0.659772,0.0241317,0.210213,0.446712,0.114841,0.0325605,-0.190035,0.0314589,0.384637,0.337761,0.0800913,0.231239,-0.172489,0.0338123,0.698974,0.12701,0.0358259,0.610886,-0.14752,0.00975788,0.890433,-0.0833478,0.0223675,1.03572,-0.14438,0.0365871,1.19968,-0.227799,0.0813855,1.26892,0.00195699,0.0612637,1.04362,-0.406156,0.143398,1.13673,0.216357,0.108536,0.788595,-0.402365,0.0525299,1.3923,-0.332462,-0.565754,-0.0127406,-0.0676558,-0.491234,-0.0412072,0.0689328,0,0,0,-3.6448,-2.50247,2.37779,3.54701,2.02121,2.09553,0,0,0,0,0,0,0.206265,-0.2928,0.958747,1.64781,0.647634,2.05081,-1.32076,-0.296296,-0.418044,0.895049,0.266672,-0.812596,0.533756,0.108426,-0.913947,5.1856e-05,5.54323e-05,0.000146627,0.0432435,0.880587,-0.102675,0,0.983026,-0.178701,0.00914231,-0.040515,-0.359792,0.00349408,-0.083018,0.0718141,0.104912,-0.607534,-2.65144,0.219181,-0.619524
0.998893,-0.0466667,-0.00104672,-0.00580483,0.999161,-0.0404747,-0.00339432,0.00534168,1,0,0,0,0.768574,-0.282551,-0.194483,-0.540033,0.765163,0.27463,0.157745,-0.560554,1,0,0,0,1,0,0,0,0.777761,-0.100435,-0.137117,-0.605144,0.777628,0.232104,0.158385,-0.562438,0.979401,-0.084153,0.105674,-0.150081,0.994808,0.0100431,-0.0731996,-0.0699911,0.713964,0.257441,-0.209672,0.616455,0.659757,-0.254377,0.254385,0.659774,0.0358393,0.269881,0.493114,0.138445,0.0334763,-0.180637,0.0427613,0.431961,0.36508,0.100274,0.231909,-0.168157,0.0406043,0.722,0.122269,0.0447078,0.610411,-0.15395,0.0123241,0.891972,-0.105047,0.0274982,1.0297,-0.181026,0.0441956,1.18158,-0.284344,0.103896,1.2994,-0.0621372,0.0719127,1.00311,-0.459311,0.185291,1.23195,0.174747,0.129935,0.750298,-0.456545,0.0626376,1.35832,-0.413706,-0.607964,-0.0136944,-0.0725262,-0.527921,-0.0442854,0.0743482,0,0,0,-3.91212,-2.68559,2.55264,3.80714,2.16838,2.24914,0,0,0,0,0,0,0.221723,-0.313897,1.02732,1.77165,0.694626,2.20247,-1.41921,-0.318383,-0.449247,0.961517,0.286344,-0.872511,0.573623,0.116523,-0.982218,6.07967e-05,6.07967e-05,0.00015378,0.0534687,0.881721,-0.131618,0,0.972916,-0.225054,0.0140473,-0.0508634,-0.454877,0.00443966,-0.105491,0.0769852,0.0461554,-0.650969,-2.83725,0.296691,-0.662366
0.99833,-0.0573102,-0.00128633,-0.00708157,0.998733,-0.0497184,-0.00416972,0.00663288,1,0,0,0,0.760061,-0.344825,-0.237247,-0.497109,0.759484,0.335512,0.192457,-0.523046,1,0,0,0,1,0,0,0,0.78821,-0.0972189,-0.142787,-0.590666,0.789056,0.261899,0.170416,-0.528921,0.976363,-0.108754,0.100028,-0.157741,0.993662,0.0268723,-0.0681534,-0.0852563,0.722249,0.267367,-0.20849,0.60283,0.659755,-0.254376,0.254386,0.659776,0.0521928,0.337969,0.534676,0.162219,0.0346277,-0.173301,0.0577011,0.484695,0.38796,0.12068,0.232618,-0.165382,0.0490341,0.745565,0.114503,0.0536738,0.609182,-0.161225,0.0150382,0.891285,-0.128022,0.032314,1.01933,-0.218854,0.0506841,1.15586,-0.341391,0.126833,1.32355,-0.141124,0.0797521,0.954719,-0.510055,0.229555,1.32758,0.0970363,0.147601,0.70435,-0.509572,0.070535,1.31246,-0.494341,-0.639493,-0.0143967,-0.0767124,-0.555208,-0.0465727,0.0775504,0,0,0,-4.12605,-2.83346,2.69112,4.01536,2.28955,2.37234,0,0,0,0,0,0,0.233055,-0.331969,1.08767,1.86138,0.733828,2.3199,-1.49302,-0.334939,-0.472513,1.01212,0.301727,-0.919463,0.603261,0.122545,-1.03297,6.07967e-05,6.79493e-05,0.000168085,0.0636768,0.879498,-0.163241,0,0.959729,-0.2734,0.0203042,-0.0613321,-0.555393,0.00543675,-0.129188,0.0814254,-0.0206244,-0.689263,-2.99128,0.38271,-0.695408
0.997629,-0.0682938,-0.00153329,-0.00841576,0.998199,-0.0592554,-0.00496964,0.0079399,1,0,0,0,0.742529,-0.407751,-0.280493,-0.451346,0.746309,0.397392,0.227827,-0.482906,1,0,0,0,1,0,0,0,0.798824,-0.0938684,-0.148737,-0.575279,0.79842,0.292579,0.182891,-0.49343,0.972487,-0.134079,0.094184,-0.165591,0.991903,0.044257,-0.0629137,-0.101054,0.730445,0.277633,-0.20723,0.58858,0.659753,-0.254375,0.254387,0.659778,0.0741332,0.413693,0.568652,0.185378,0.0358509,-0.168813,0.076899,0.542091,0.404433,0.140713,0.233277,-0.164812,0.0592829,0.769201,0.103087,0.0625487,0.60723,-0.169617,0.017876,0.888294,-0.152103,0.0365691,1.00454,-0.257201,0.0555057,1.12257,-0.397442,0.148665,1.33631,-0.234776,0.0839611,0.899324,-0.556725,0.273392,1.41053,-0.0197823,0.160099,0.651371,-0.559923,0.0753043,1.25501,-0.571744,-0.660342,-0.0148473,-0.0802144,-0.573091,-0.0480688,0.078539,0,0,0,-4.28661,-2.94608,2.79322,4.17166,2.38472,2.46515,0,0,0,0,0,0,0.24026,-0.347013,1.1398,1.91701,0.765242,2.40306,-1.54218,-0.345962,-0.487847,1.04686,0.312819,-0.95345,0.622659,0.126485,-1.06618,6.4373e-05,6.79493e-05,0.000171661,0.0734672,0.873316,-0.197256,0,0.943264,-0.32302,0.0279587,-0.071625,-0.660364,0.00647218,-0.153794,0.0851344,-0.0897163,-0.722411,-3.11331,0.474816,-0.718755
0.99679,-0.0794379,-0.00178336,-0.0097958,0.997562,-0.0689277,-0.00578082,0.00922574,1,0,0,0,0.715539,-0.469715,-0.323132,-0.40368,0.725202,0.458824,0.263083,-0.440851,1,0,0,0,1,0,0,0,0.809479,-0.0904416,-0.154919,-0.559074,0.805391,0.323514,0.195643,-0.456517,0.967787,-0.159697,0.0882399,-0.173493,0.989509,0.0619216,-0.057555,-0.117158,0.738389,0.288069,-0.205908,0.573933,0.659751,-0.254374,0.254388,0.65978,0.102363,0.495769,0.592416,0.207098,0.0369521,-0.167811,0.100785,0.603107,0.412663,0.159763,0.233794,-0.167008,0.071446,0.792474,0.0874829,0.0711744,0.604668,-0.17939,0.0208131,0.883128,-0.177116,0.0400423,0.985609,-0.295415,0.0581954,1.08237,-0.451057,0.167442,1.33277,-0.340702,0.0839733,0.838376,-0.59788,0.312788,1.46686,-0.172824,0.166339,0.592538,-0.606118,0.0761924,1.18715,-0.643434,-0.67051,-0.0150462,-0.0830324,-0.581572,-0.0487738,0.0773144,0,0,0,-4.39378,-3.02343,2.85894,4.27605,2.45391,2.52756,0,0,0,0,0,0,0.243338,-0.359035,1.1837,1.93853,0.788865,2.45197,-1.5667,-0.351455,-0.495247,1.06573,0.319619,-0.974472,0.63183,0.128346,-1.08188,6.4373e-05,6.79493e-05,0.00018239,0.0824138,0.862816,-0.233139,0,0.92343,-0.373194,0.036995,-0.0814481,-0.768815,0.00753278,-0.178995,0.0881122,-0.154991,-0.750415,-3.20332,0.570221,-0.732521
